code_asset,id_item,id_shop,id_cabang,id_category_asset,id_unit,asset_name,nilai_buku,status,timestamp,user_update,keterangan
PLBK/EMBER/TATAY,406,2388,0,5,24,EMBER TATAY,0,Active,11/23/2018 11:20,0,\N
PLBK/ENGCR/KERNEL,407,2388,0,5,24,ENGINE CRANE KERNEL,0,Active,11/23/2018 11:20,0,\N
PLBK/ENGCR/TEKIRO,408,2388,0,5,24,ENGINE CRANE TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/ENGCR/NN,409,2388,0,5,24,ENGINE CRANE,0,Active,11/23/2018 11:20,0,\N
PLBK/ENGCR/ESTCO,410,2388,0,5,24,ENGINE CRANE ESTCO,0,Active,11/23/2018 11:20,0,\N
EXFN/EXHAU/SEKAI,411,2388,0,31,24,EXHAUST FAN SEKAI,0,Active,11/23/2018 11:20,0,\N
PLAD/ETALA/NN,412,2388,0,10,24,ETALASE,0,Active,11/23/2018 11:20,0,\N
EXFN/EXHAU/NN,413,2388,0,31,24,EXHAUST FAN,0,Active,11/23/2018 11:20,0,\N
EXFN/EXHAU/CKE,414,2388,0,31,24,EXHAUST FAN CKE,0,Active,11/23/2018 11:20,0,\N
EXFN/EXHAU/KJK,415,2388,0,31,24,EXHAUST FAN KJK,0,Active,11/23/2018 11:20,0,\N
EXFN/EXHAU/PANASONIC,416,2388,0,31,24,EXHAUST FAN PANASONIC,0,Active,11/23/2018 11:20,0,\N
PLBK/EXPRG/NN,417,2388,0,5,24,EXPANDER RING PISTON,0,Active,11/23/2018 11:20,0,\N
PLBK/DREXB/TEKIRO,418,2388,0,5,24,DR EXTENSION BAR 10,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRGA/TEKIRO,419,2388,0,5,24,FEELER GAUGE TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/FNDCV/BOS,420,2388,0,5,24,FENDER COVER,0,Active,11/23/2018 11:20,0,\N
PLBK/FLXHD/TEKIRO,421,2388,0,5,24,FLEXIBLE HANDLE TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/FLXHD/KTC,422,2388,0,5,24,FLEXIBLE HANDLE KTC,0,Active,11/23/2018 11:20,0,\N
Fiberhome,423,2388,0,10,24,Fiberhome,0,Active,11/23/2018 11:20,0,\N
Fiberstar,424,2388,0,10,24,Fiberstar,0,Active,11/23/2018 11:20,0,\N
MSBK/FNSBL/CEMB/L88P,425,2388,0,9,24,FINISH BALANCE CEMB L88P,0,Active,11/23/2018 11:20,0,\N
PLBK/FUPRG/NN,426,2388,0,5,24,FUEL PRESSURE GAUGE,0,Active,11/23/2018 11:20,0,\N
PLBK/GRGBS/NN,427,2388,0,5,24,GERGAJI BESI,0,Active,11/23/2018 11:20,0,\N
PLBK/GRGBS/TJAPMATA,428,2388,0,5,24,GERGAJI BESI TJAP MATA,0,Active,11/23/2018 11:20,0,\N
PLBK/GRGBS/JASON,429,2388,0,5,24,GERGAJI BESI JASON,0,Active,11/23/2018 11:20,0,\N
PLBK/GRGBS/TEKIRO,430,2388,0,5,24,GERGAJI BESI TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/GRGBS/VIPER,431,2388,0,5,24,GERGAJI BESI VIPER,0,Active,11/23/2018 11:20,0,\N
PLBK/GRGBS/WIPRO,432,2388,0,5,24,GERGAJI BESI WIPRO,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNMJ/NN,433,2388,0,5,24,GERINDA MEJA,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNMJ/BOSCH,434,2388,0,5,24,GERINDA MEJA BOSCH,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNMJ/BOSCH/GBG,435,2388,0,5,24,GERINDA MEJA BOSCH GBG 6,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNMJ/BOSCH/GBG,436,2388,0,5,24,GERINDA MEJA BOSCH GBG 35-5,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNMJ/SUPERJAPA,437,2388,0,5,24,GERINDA MEJA SUPER JAPAN,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNTG/KRISBOW,438,2388,0,5,24,GERINDA TANGAN KRISBOW,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNTG/BOSCH,439,2388,0,5,24,GERINDA TANGAN BOSCH,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNTG/PRESSCOTT,440,2388,0,5,24,GERINDA TANGAN PRESSCOTT,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNTG/RYOBI,441,2388,0,5,24,GERINDA TANGAN RYOBI,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNTG/TEKIRO,442,2388,0,5,24,GERINDA TANGAN TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNTG/NN,443,2388,0,5,24,GERINDA TANGAN,0,Active,11/23/2018 11:20,0,\N
PLBK/GRNTG/BOSCH/GWS,444,2388,0,5,24,GERINDA TANGAN BOSCH GWS060,0,Active,11/23/2018 11:20,0,\N
PLBK/HRDRY/NN,445,2388,0,5,24,HAIR DRYER,0,Active,11/23/2018 11:20,0,\N
PLBK/HVDVC/TEKIRO,446,2388,0,5,24,HEAVY DUTY VALVE SPRING COMPRESSOR TEKIRO,0,Active,11/23/2018 11:20,0,\N
TKR/HNDL/BSR,447,2388,0,5,24,Tekiro Handle Besar,0,Active,11/23/2018 11:20,0,\N
TKR/HNDL/KCL,448,2388,0,5,24,Tekiro Handle Kecil,0,Active,11/23/2018 11:20,0,\N
TKR/HNDL/SOCK,449,2388,0,5,24,Tekiro Handle Sok,0,Active,11/23/2018 11:20,0,\N
HT/HANTL/SPC,450,2388,0,33,24,HT SPC,0,Active,11/23/2018 11:20,0,\N
HT/HANTL/WEIRWEI,451,2388,0,33,24,HT Weirwei,0,Active,11/23/2018 11:20,0,\N
HT/HANTL/ICOM,452,2388,0,33,24,HT ICOM,0,Active,11/23/2018 11:20,0,\N
PLBK/HYDPR/WORKSHOP/,453,2388,0,5,24,HYDROLIC PRESS WORKSHOP PRO 500,0,Active,11/23/2018 11:20,0,\N
PLBK/IMPAC/IR,454,2388,0,5,24,IMPACT IR,0,Active,11/23/2018 11:20,0,\N
PLBK/IMPAC/TOKU,455,2388,0,5,24,IMPACT TOKU,0,Active,11/23/2018 11:20,0,\N
PLBK/IMPAC/FIREBIRD,456,2388,0,5,24,IMPACT FIRE BIRD,0,Active,11/23/2018 11:20,0,\N
PLBK/IMPAC/NN,457,2388,0,5,24,IMPACT,0,Active,11/23/2018 11:20,0,\N
PLBK/INJCL/AUTOTECH,458,2388,0,5,24,INJECTOR CLEANER AUTOTECH,0,Active,11/23/2018 11:20,0,\N
PLBK/INTRD/JTC,459,2388,0,5,24,INNER TIE ROD JTC,0,Active,11/23/2018 11:20,0,\N
PLBK/INTRD/BRITOOL,460,2388,0,5,24,INNER TIE ROD BRITOOL,0,Active,11/23/2018 11:20,0,\N
PLBK/JCKST/NN,461,2388,0,5,24,JACK STAND 3 TON,0,Active,11/23/2018 11:20,0,\N
PLBK/JCKST/KOALA,462,2388,0,5,24,JACK STAND 3 TON KOALA,0,Active,11/23/2018 11:20,0,\N
PLBK/JCKST/TEKIRO,463,2388,0,5,24,JACK STAND 3 TON TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/JCKST/ATS,464,2388,0,5,24,JACK STAND 3 TON ATS,0,Active,11/23/2018 11:20,0,\N
PLBK/KBLJM/NN,465,2388,0,5,24,KABEL JUMPER,0,Active,11/23/2018 11:20,0,\N
PLBK/KCMTK/NN,466,2388,0,5,24,KACAMATA KERJA,0,Active,11/23/2018 11:20,0,\N
PLBK/KRJBJ/ROVEGA,467,2388,0,5,24,KERANJANG BELANJA ROVEGA,0,Active,11/23/2018 11:20,0,\N
PLBK/KRJBJ/LEISURE,468,2388,0,5,24,KERANJANG BELANJA LEISURE,0,Active,11/23/2018 11:20,0,\N
PLBK/KRJBJ/NN,469,2388,0,5,24,KERANJANG BELANJA,0,Active,11/23/2018 11:20,0,\N
PLAD/KALK/CITIZEN/SD,470,2388,0,10,24,KALKULATOR CITIZEN SDC 868 L,0,Active,11/23/2018 11:20,0,\N
PLAD/KALK/CITIZEN/CT,471,2388,0,10,24,KALKULATOR CITIZEN CT600,0,Active,11/23/2018 11:20,0,\N
PLAD/KALK/CITIZEN/JO,472,2388,0,10,24,KALKULATOR CITIZEN JOYCO,0,Active,11/23/2018 11:20,0,\N
PLBK/PUACH/NN/SET,473,2388,0,5,24,PUNCH AND CHISEL,0,Active,11/23/2018 11:20,0,\N
PLBK/PUACH/TEKIRO/SE,474,2388,0,5,24,PUNCH AND CHISEL TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/PUACH/WERKLINE/,475,2388,0,5,24,PUNCH AND CHISEL WERKLINE,0,Active,11/23/2018 11:20,0,\N
PLBK/KTP3K/P3K,476,2388,0,5,24,KOTAK P3K,0,Active,11/23/2018 11:20,0,\N
TKR/KNC/SG6,477,2388,0,5,24,Tekiro Kunci Sok Segienam 36,0,Active,11/23/2018 11:20,0,\N
PLBK/MGNSP/KTC/16,478,2388,0,5,24,MAGNETIC SPARK PLUG 16 KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/MGNSP/TEKIRO/16,479,2388,0,5,24,MAGNETIC SPARK PLUG 16 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/MGNSP/TEKIRO/18,480,2388,0,5,24,MAGNETIC SPARK PLUG 18 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/MGNSP/TEKIRO/21,481,2388,0,5,24,MAGNETIC SPARK PLUG 21 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/MGSP/KTC/21,482,2388,0,5,24,MAGNETIC SPARK PLUG 21 KTC,0,Active,11/23/2018 11:20,0,\N
